index,selectionId,menuName,Morning,Noon,Evening,Night
1,3001,Climate: +16,0.1,0.2,0.1,0.05
2,3002,Climate: +20,0.2,0.05,0.05,0.3
3,3003,Climate OFF,0.3,0.1,0.1,0.1
4,3004,Fan mode,0.2,0.2,0.05,0.1
5,3005,Fan speed,0.1,0.2,0.05,0.2
6,3006,Fan ON,0.1,0.3,0.1,0.05
7,3007,Fan OFF,0.2,0.05,0.05,0.3
8,8001,Chanel 1,0.05,0.2,0.2,0.05
9,8002,Volume -,0.1,0.1,0.05,0.3
10,8003,Volume +,0.05,0.2,0.2,0.05
11,8004,ON/OFF sound,0.25,0.25,0.25,0.25
12,8005,ON/OFF TV,0.25,0.25,0.25,0.25
13,1001,Bed position 1,0.5,0.1,0.3,0.1
14,1002,Bed position 2,0.05,0.2,0.05,0.2
15,1003,Bed position 3,0.2,0.3,0.2,0.3
16,1004,Bed position 4,0.2,0.3,0.2,0.3
17,1005,Bed position 5,0.2,0.2,0.2,0.2
18,5001,Light 1,0.2,0.1,0.5,0.2
19,5002,Light 2,0.2,0.1,0.5,0.2
20,5003,Light OFF,0.2,0.3,0.1,0.5
21,2001,Last Email,0.2,0.2,0.4,0.3
22,2002,Penultimate message,0.1,0.1,0.3,0.1
23,2003,3 message from the end,0,0,0.2,0
24,2004,4 message from the end,0,0,0.2,0
25,2005,5 message from the end,0,0,0.1,0
26,9001,Email recipient 1,0.2,0.2,0.4,0.3
27,9002,Email recipient 2,0.1,0.1,0.3,0.1
28,9003,Email recipient 3,0,0,0.2,0
29,9004,Email recipient 4,0,0,0.2,0
30,9005,Email recipient 5,0,0,0.1,0
31,6001,Skype user 1,0.2,0.2,0.4,0.3
32,6002,Skype user 2,0.1,0.1,0.3,0.1
33,6003,Skype user 3,0,0,0.2,0
34,6004,Skype user 4,0,0,0.2,0
35,6005,Skype user 5,0,0,0.1,0
36,7001,Vocalize 1,0.05,0.05,0.2,0.1
37,7002,Vocalize 2,0.05,0.05,0.1,0.05
38,7003,Vocalize 3,0,0,0.2,0
39,7004,Vocalize 4,0,0,0.2,0
40,7005,Vocalize 5,0,0,0.1,0
41,4001,Help: Request 1,0.2,0.05,0.05,0.2
42,4002,Help: Request 2,0.1,0.1,0.2,0.05
43,4003,Help: Request 3,0.2,0.3,0.3,0.2
44,4004,Help: Request 4,0.2,0.05,0.05,0.2
45,4005,Help: Request 5,0.25,0.25,0.25,0.25
46,20001,MP3,0.2,0.3,0.4,0.1
47,20002,Radio 1,0.2,0.3,0.4,0.1
48,20003,Radio 2,0.2,0.3,0.4,0.1
49,20004,Radio ON,0.2,0.3,0.4,0.1
50,20005,Radio OFF,0.2,0.2,0.1,0.5
51,20006,Radio VOL+,0.2,0.3,0.4,0.1
52,20007,Radio VOL-,0.2,0.3,0.4,0.1
53,30001,Massager,0.2,0.3,0.3,0.2
54,0,No action,0.1,0.1,0.1,0.1
